Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,price_m2,x,y
423500,950,90,3,2,0,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5608424,-46.59463,4705.555555555556,337248.43828679255,7393487.477671445
750000,760,107,3,2,1,2,0,1,0,0,Mooca/São Paulo,sale,apartment,-23.5603888,-46.595026,7009.345794392523,337207.45538613887,7393537.258096733
620000,0,83,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844,7469.879518072289,336217.7620877918,7393861.65227806
800000,1200,120,4,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5650862,-46.5910806,6666.666666666667,337615.9802563589,7393021.559795536
540000,600,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5569867,-46.5916084,10800.0,337552.14220851974,7393917.874880679
920000,900,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5616363,-46.6015043,8214.285714285714,336547.6891998806,7393391.737780258
713990,530,86,2,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844,8302.209302325582,336217.7620877918,7393861.65227806
745000,750,92,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.561991,-46.5871744,8097.826086956522,338010.91623477195,7393368.734683206
435000,0,52,2,1,0,1,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5471924,-46.6056923,8365.384615384615,336102.26043973345,7394986.432483901
990000,990,118,3,4,3,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5584436,-46.5934512,8389.830508474577,337365.8169387805,7393754.451992122
460000,600,63,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.559749,-46.5828386,7301.587301587301,338450.7685822543,7393621.901671357
705000,0,132,3,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5696671,-46.5915167,5340.909090909091,337577.09981396224,7392513.79037882
399000,550,60,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5659633,-46.5913333,6650.0,337591.26419778354,7392924.145950373
850000,700,110,3,4,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5676248,-46.5836587,7727.272727272727,338376.6914236323,7392748.837174045
